City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,pimentel,-6.8367,-79.9342,71.89,73,0,20.71,PE,1697671650
317,nagqu,31.5,92.0,20.46,91,100,4.12,CN,1697671650
318,champerico,14.3,-91.9167,88.34,80,27,7.99,GT,1697671651
319,tual,-5.6667,132.75,79.75,80,14,12.15,ID,1697671651
320,golere,16.2557,-14.1017,96.21,29,36,1.72,SN,1697671522
321,lindsay,36.203,-119.0882,94.01,31,0,6.91,US,1697671599
322,kas,36.2018,29.6377,68.74,65,3,6.73,TR,1697671651
323,sodankyla,67.4167,26.6,21.42,92,39,7.18,FI,1697671651
324,qusmuryn,52.4503,64.6311,38.98,63,27,8.99,KZ,1697671651
325,lashio,22.9333,97.75,60.53,99,25,0.67,MM,1697671651
326,madang,-5.2246,145.7966,83.88,72,77,1.83,PG,1697671652
327,vorgashor,67.5833,63.95,32.31,82,51,14.43,RU,1697671652
328,gore,-46.1028,168.9436,59.38,52,83,6.04,NZ,1697671652
329,kindu,-2.95,25.95,70.38,98,97,1.61,CD,1697671652
330,nguigmi,14.2495,13.1092,86.85,24,100,10.56,NE,1697671652
331,santiago,-33.4569,-70.6483,64.85,53,0,12.66,CL,1697671440
332,pingliang,35.5392,106.6861,43.16,71,98,8.37,CN,1697671652
333,raja,8.4596,25.678,72.07,89,87,1.43,SS,1697671652
334,emerald,-23.5333,148.1667,73.35,57,10,13.42,AU,1697671653
335,mawu,29.5923,107.3139,62.35,94,97,6.4,CN,1697671653
336,fruita,39.1589,-108.729,78.62,24,0,5.75,US,1697671653
337,shiguai,40.7058,110.2856,39.43,37,38,7.45,CN,1697671653
338,makueni boma,-1.8041,37.6203,66.63,90,87,6.98,KE,1697671653
339,irinjalakuda,10.3333,76.2333,76.89,96,100,3.24,IN,1697671653
340,putina,-15.4667,-69.4333,49.35,65,49,11.32,PE,1697671653
341,yantarnyy,54.8717,19.9381,48.94,73,100,12.82,RU,1697671653
342,ilha de mocambique,-15.0342,40.7358,78.51,79,67,6.96,MZ,1697671653
343,az zuwaytinah,30.9522,20.1202,75.76,43,1,8.21,LY,1697671654
344,hakha,22.65,93.6167,52.48,79,3,2.15,MM,1697671654
345,bhawanipatna,19.9,83.1667,68.41,91,2,1.3,IN,1697671654
346,kizner,56.2749,51.508,36.45,83,81,9.75,RU,1697671654
347,pemangkat,1.1667,108.9667,77.95,88,100,7.09,ID,1697671654
348,port lincoln,-34.7333,135.8667,71.26,33,49,7.99,AU,1697671586
349,durban,-29.8579,31.0292,68.92,85,98,3.94,ZA,1697671654
350,mae hong son,19.3003,97.9685,75.34,94,75,0.0,TH,1697671654
351,levuka,50.1834,-105.4011,58.73,55,75,9.22,CA,1697671655
352,bondoukou,8.0333,-2.8,75.16,83,87,2.17,CI,1697671655
353,urumqi,43.801,87.6005,40.15,56,0,4.47,CN,1697671655
354,urengoy,65.9667,78.3667,42.12,94,100,11.99,RU,1697671655
355,sinabang,2.4803,96.3801,78.22,84,100,4.32,ID,1697671655
356,sandnessjoen,66.0217,12.6316,25.32,68,0,12.84,NO,1697671655
357,saint-pierre,-21.3393,55.4781,76.68,78,100,3.44,RE,1697671655
358,la foa,-21.7108,165.8276,72.97,55,22,8.68,NC,1697671655
359,al ain city,24.1917,55.7606,82.02,65,0,6.91,AE,1697671656
360,kresek,-6.1314,106.3797,85.32,73,89,4.41,ID,1697671656
361,cidreira,-30.1811,-50.2056,62.38,76,100,10.71,BR,1697671656
362,wongsorejo,-7.9908,114.4009,78.66,73,89,8.14,ID,1697671656
363,kapa'a,22.0752,-159.319,84.52,62,20,9.22,US,1697671656
